# kernel,variant,ni,nj,time_ns_per_call,interactions_per_s
nb,nosimd,4,8,117.8,2.716e+08
epep,nosimd,4,8,621.6,5.148e+07
mono,nosimd,4,8,497.3,6.435e+07
quad,nosimd,4,8,1342.4,2.384e+07
nb,nosimd,4,32,463.4,2.762e+08
epep,nosimd,4,32,2389.4,5.357e+07
mono,nosimd,4,32,1901.1,6.733e+07
quad,nosimd,4,32,5347.6,2.394e+07
nb,nosimd,4,128,1829.6,2.798e+08
epep,nosimd,4,128,9411.2,5.440e+07
mono,nosimd,4,128,7511.9,6.816e+07
quad,nosimd,4,128,21318.5,2.402e+07
nb,nosimd,4,512,7308.2,2.802e+08
epep,nosimd,4,512,37589.0,5.448e+07
mono,nosimd,4,512,29996.9,6.827e+07
quad,nosimd,4,512,85294.4,2.401e+07
nb,nosimd,4,2048,41049.2,1.996e+08
epep,nosimd,4,2048,151631.1,5.403e+07
mono,nosimd,4,2048,119809.4,6.838e+07
quad,nosimd,4,2048,347312.1,2.359e+07
nb,nosimd,16,8,474.5,2.698e+08
epep,nosimd,16,8,2487.7,5.145e+07
mono,nosimd,16,8,1990.1,6.432e+07
quad,nosimd,16,8,5358.4,2.389e+07
nb,nosimd,16,32,1850.9,2.766e+08
epep,nosimd,16,32,9512.2,5.383e+07
mono,nosimd,16,32,7595.4,6.741e+07
quad,nosimd,16,32,21401.8,2.392e+07
nb,nosimd,16,128,7299.5,2.806e+08
epep,nosimd,16,128,37602.3,5.446e+07
mono,nosimd,16,128,30028.5,6.820e+07
quad,nosimd,16,128,85234.6,2.403e+07
nb,nosimd,16,512,29324.7,2.794e+08
epep,nosimd,16,512,150398.8,5.447e+07
mono,nosimd,16,512,119980.2,6.828e+07
quad,nosimd,16,512,341183.1,2.401e+07
nb,nosimd,16,2048,164696.0,1.990e+08
epep,nosimd,16,2048,606786.2,5.400e+07
mono,nosimd,16,2048,479134.3,6.839e+07
quad,nosimd,16,2048,1387705.5,2.361e+07
nb,nosimd,64,8,1882.3,2.720e+08
epep,nosimd,64,8,9957.1,5.142e+07
mono,nosimd,64,8,7959.1,6.433e+07
quad,nosimd,64,8,21415.3,2.391e+07
nb,nosimd,64,32,7398.9,2.768e+08
epep,nosimd,64,32,37991.5,5.391e+07
mono,nosimd,64,32,30433.7,6.729e+07
quad,nosimd,64,32,85510.9,2.395e+07
nb,nosimd,64,128,29274.1,2.798e+08
epep,nosimd,64,128,150550.8,5.441e+07
mono,nosimd,64,128,120139.0,6.819e+07
quad,nosimd,64,128,340982.4,2.402e+07
nb,nosimd,64,512,116713.3,2.808e+08
epep,nosimd,64,512,601484.2,5.448e+07
mono,nosimd,64,512,480049.9,6.826e+07
quad,nosimd,64,512,1364242.1,2.402e+07
nb,nosimd,64,2048,658512.9,1.990e+08
epep,nosimd,64,2048,2427619.4,5.399e+07
mono,nosimd,64,2048,1917115.5,6.837e+07
quad,nosimd,64,2048,5556523.8,2.359e+07
nb,nosimd,256,8,7571.0,2.705e+08
epep,nosimd,256,8,39650.7,5.165e+07
mono,nosimd,256,8,31834.9,6.433e+07
quad,nosimd,256,8,85660.2,2.391e+07
nb,nosimd,256,32,29631.1,2.765e+08
epep,nosimd,256,32,152561.2,5.370e+07
mono,nosimd,256,32,121704.7,6.731e+07
quad,nosimd,256,32,342255.5,2.394e+07
nb,nosimd,256,128,117201.2,2.796e+08
epep,nosimd,256,128,603815.6,5.427e+07
mono,nosimd,256,128,480489.1,6.820e+07
quad,nosimd,256,128,1363270.5,2.404e+07
nb,nosimd,256,512,467763.5,2.802e+08
epep,nosimd,256,512,2405401.7,5.449e+07
mono,nosimd,256,512,1914361.9,6.847e+07
quad,nosimd,256,512,5457580.5,2.402e+07
nb,nosimd,256,2048,2667236.4,1.966e+08
epep,nosimd,256,2048,9712998.5,5.398e+07
mono,nosimd,256,2048,7668588.8,6.837e+07
quad,nosimd,256,2048,22226402.7,2.359e+07
nb,nosimd,1024,8,30571.1,2.680e+08
epep,nosimd,1024,8,158509.3,5.168e+07
mono,nosimd,1024,8,128237.2,6.388e+07
quad,nosimd,1024,8,345357.0,2.372e+07
nb,nosimd,1024,32,118871.6,2.757e+08
epep,nosimd,1024,32,610614.9,5.366e+07
mono,nosimd,1024,32,487431.6,6.723e+07
quad,nosimd,1024,32,1368684.5,2.394e+07
nb,nosimd,1024,128,469155.8,2.794e+08
epep,nosimd,1024,128,2410893.0,5.437e+07
mono,nosimd,1024,128,1926414.0,6.804e+07
quad,nosimd,1024,128,5456383.5,2.402e+07
nb,nosimd,1024,512,1870231.1,2.803e+08
epep,nosimd,1024,512,9623508.5,5.448e+07
mono,nosimd,1024,512,7675636.5,6.831e+07
quad,nosimd,1024,512,21828017.0,2.402e+07
nb,nosimd,1024,2048,10667964.6,1.966e+08
epep,nosimd,1024,2048,38838875.7,5.400e+07
mono,nosimd,1024,2048,30680384.0,6.835e+07
quad,nosimd,1024,2048,88905382.3,2.359e+07
