# kernel,variant,ni,nj,time_ns_per_call,interactions_per_s
nb,nosimd,4,8,116.4,2.748e+08
epep,nosimd,4,8,591.7,5.408e+07
mono,nosimd,4,8,986.4,3.244e+07
quad,nosimd,4,8,1328.6,2.409e+07
nb,nosimd,4,32,461.2,2.775e+08
epep,nosimd,4,32,2249.9,5.689e+07
mono,nosimd,4,32,3908.6,3.275e+07
quad,nosimd,4,32,5269.5,2.429e+07
nb,nosimd,4,128,1823.7,2.807e+08
epep,nosimd,4,128,8870.0,5.772e+07
mono,nosimd,4,128,15598.8,3.282e+07
quad,nosimd,4,128,21058.9,2.431e+07
nb,nosimd,4,512,7384.7,2.773e+08
epep,nosimd,4,512,35393.0,5.786e+07
mono,nosimd,4,512,62359.0,3.284e+07
quad,nosimd,4,512,84176.0,2.433e+07
nb,nosimd,4,2048,41958.6,1.952e+08
epep,nosimd,4,2048,144415.4,5.673e+07
mono,nosimd,4,2048,249501.6,3.283e+07
quad,nosimd,4,2048,344231.4,2.380e+07
nb,nosimd,16,8,466.0,2.747e+08
epep,nosimd,16,8,2367.3,5.407e+07
mono,nosimd,16,8,3945.7,3.244e+07
quad,nosimd,16,8,5309.1,2.411e+07
nb,nosimd,16,32,1823.8,2.807e+08
epep,nosimd,16,32,8998.8,5.690e+07
mono,nosimd,16,32,15636.2,3.274e+07
quad,nosimd,16,32,21082.9,2.429e+07
nb,nosimd,16,128,7260.5,2.821e+08
epep,nosimd,16,128,35507.3,5.768e+07
mono,nosimd,16,128,62396.8,3.282e+07
quad,nosimd,16,128,84219.9,2.432e+07
nb,nosimd,16,512,29275.3,2.798e+08
epep,nosimd,16,512,141577.9,5.786e+07
mono,nosimd,16,512,249444.2,3.284e+07
quad,nosimd,16,512,336687.3,2.433e+07
nb,nosimd,16,2048,165160.3,1.984e+08
epep,nosimd,16,2048,575207.8,5.697e+07
mono,nosimd,16,2048,997987.6,3.283e+07
quad,nosimd,16,2048,1377038.1,2.380e+07
nb,nosimd,64,8,1857.3,2.757e+08
epep,nosimd,64,8,9469.4,5.407e+07
mono,nosimd,64,8,15783.4,3.244e+07
quad,nosimd,64,8,21223.5,2.412e+07
nb,nosimd,64,32,7325.2,2.796e+08
epep,nosimd,64,32,36017.2,5.686e+07
mono,nosimd,64,32,62544.6,3.274e+07
quad,nosimd,64,32,84353.9,2.428e+07
nb,nosimd,64,128,29136.9,2.812e+08
epep,nosimd,64,128,141932.1,5.772e+07
mono,nosimd,64,128,249589.9,3.282e+07
quad,nosimd,64,128,336866.9,2.432e+07
nb,nosimd,64,512,116381.9,2.816e+08
epep,nosimd,64,512,566212.4,5.787e+07
mono,nosimd,64,512,997730.0,3.284e+07
quad,nosimd,64,512,1347583.3,2.432e+07
nb,nosimd,64,2048,666666.0,1.966e+08
epep,nosimd,64,2048,2318145.8,5.654e+07
mono,nosimd,64,2048,3991652.9,3.284e+07
quad,nosimd,64,2048,5507774.9,2.380e+07
nb,nosimd,256,8,7482.7,2.737e+08
epep,nosimd,256,8,38009.1,5.388e+07
mono,nosimd,256,8,63138.7,3.244e+07
quad,nosimd,256,8,84922.4,2.412e+07
nb,nosimd,256,32,29241.4,2.802e+08
epep,nosimd,256,32,143850.1,5.695e+07
mono,nosimd,256,32,250168.1,3.275e+07
quad,nosimd,256,32,337306.4,2.429e+07
nb,nosimd,256,128,116835.2,2.805e+08
epep,nosimd,256,128,567827.1,5.771e+07
mono,nosimd,256,128,998344.4,3.282e+07
quad,nosimd,256,128,1347457.2,2.432e+07
nb,nosimd,256,512,466240.5,2.811e+08
epep,nosimd,256,512,2264781.2,5.787e+07
mono,nosimd,256,512,3991072.2,3.284e+07
quad,nosimd,256,512,5388776.9,2.432e+07
nb,nosimd,256,2048,2642650.6,1.984e+08
epep,nosimd,256,2048,9245290.4,5.671e+07
mono,nosimd,256,2048,15964845.6,3.284e+07
quad,nosimd,256,2048,22040990.7,2.379e+07
nb,nosimd,1024,8,30129.0,2.719e+08
epep,nosimd,1024,8,152044.8,5.388e+07
mono,nosimd,1024,8,253218.5,3.235e+07
quad,nosimd,1024,8,341500.8,2.399e+07
nb,nosimd,1024,32,117404.4,2.791e+08
epep,nosimd,1024,32,575684.1,5.692e+07
mono,nosimd,1024,32,1001441.1,3.272e+07
quad,nosimd,1024,32,1351319.1,2.425e+07
nb,nosimd,1024,128,467217.4,2.805e+08
epep,nosimd,1024,128,2272220.3,5.768e+07
mono,nosimd,1024,128,3994112.2,3.282e+07
quad,nosimd,1024,128,5391358.3,2.431e+07
nb,nosimd,1024,512,1863635.7,2.813e+08
epep,nosimd,1024,512,9058530.8,5.788e+07
mono,nosimd,1024,512,15964599.2,3.284e+07
quad,nosimd,1024,512,21554280.7,2.432e+07
nb,nosimd,1024,2048,10677819.3,1.964e+08
epep,nosimd,1024,2048,36987440.7,5.670e+07
mono,nosimd,1024,2048,63861394.0,3.284e+07
quad,nosimd,1024,2048,88114790.3,2.380e+07
