# kernel,variant,ni,nj,time_ns_per_call,interactions_per_s
nb,nosimd,4,8,117.9,2.713e+08
nb,neon4,4,8,281.1,1.138e+08
nb,neon1,4,8,389.7,8.211e+07
epep,nosimd,4,8,623.1,5.136e+07
epep,neon4,4,8,386.6,8.277e+07
epep,neon1,4,8,579.1,5.526e+07
mono,nosimd,4,8,497.4,6.434e+07
mono,neon4,4,8,383.9,8.335e+07
mono,neon1,4,8,532.6,6.009e+07
quad,nosimd,4,8,1347.0,2.376e+07
quad,neon4,4,8,532.9,6.005e+07
quad,neon1,4,8,924.1,3.463e+07
nb,nosimd,4,32,463.4,2.762e+08
nb,neon4,4,32,428.2,2.989e+08
nb,neon1,4,32,526.6,2.431e+08
epep,nosimd,4,32,2384.0,5.369e+07
epep,neon4,4,32,806.0,1.588e+08
epep,neon1,4,32,973.8,1.314e+08
mono,nosimd,4,32,1900.9,6.734e+07
mono,neon4,4,32,792.4,1.615e+08
mono,neon1,4,32,918.8,1.393e+08
quad,nosimd,4,32,5334.3,2.400e+07
quad,neon4,4,32,1390.9,9.203e+07
quad,neon1,4,32,1898.3,6.743e+07
nb,nosimd,4,128,1828.2,2.801e+08
nb,neon4,4,128,1025.0,4.995e+08
nb,neon1,4,128,1118.4,4.578e+08
epep,nosimd,4,128,9423.2,5.433e+07
epep,neon4,4,128,2477.6,2.067e+08
epep,neon1,4,128,2600.1,1.969e+08
mono,nosimd,4,128,7517.3,6.811e+07
mono,neon4,4,128,2424.6,2.112e+08
mono,neon1,4,128,2487.5,2.058e+08
quad,nosimd,4,128,21287.6,2.405e+07
quad,neon4,4,128,4837.9,1.058e+08
quad,neon1,4,128,5480.8,9.342e+07
nb,nosimd,4,512,7308.1,2.802e+08
nb,neon4,4,512,3562.3,5.749e+08
nb,neon1,4,512,3986.6,5.137e+08
epep,nosimd,4,512,37610.6,5.445e+07
epep,neon4,4,512,9293.5,2.204e+08
epep,neon1,4,512,9794.5,2.091e+08
mono,nosimd,4,512,29985.4,6.830e+07
mono,neon4,4,512,8954.7,2.287e+08
mono,neon1,4,512,8940.7,2.291e+08
quad,nosimd,4,512,85108.8,2.406e+07
quad,neon4,4,512,18655.8,1.098e+08
quad,neon1,4,512,20185.3,1.015e+08
nb,nosimd,4,2048,41531.1,1.972e+08
nb,neon4,4,2048,16101.7,5.088e+08
nb,neon1,4,2048,16674.7,4.913e+08
epep,nosimd,4,2048,151952.4,5.391e+07
epep,neon4,4,2048,37127.2,2.206e+08
epep,neon1,4,2048,39314.0,2.084e+08
mono,nosimd,4,2048,119807.4,6.838e+07
mono,neon4,4,2048,35067.7,2.336e+08
mono,neon1,4,2048,34966.0,2.343e+08
quad,nosimd,4,2048,346735.9,2.363e+07
quad,neon4,4,2048,76074.5,1.077e+08
quad,neon1,4,2048,80138.9,1.022e+08
nb,nosimd,16,8,473.6,2.703e+08
nb,neon4,16,8,666.1,1.922e+08
nb,neon1,16,8,740.1,1.730e+08
epep,nosimd,16,8,2492.2,5.136e+07
epep,neon4,16,8,1095.8,1.168e+08
epep,neon1,16,8,1357.5,9.429e+07
mono,nosimd,16,8,1989.9,6.433e+07
mono,neon4,16,8,1099.7,1.164e+08
mono,neon1,16,8,1240.4,1.032e+08
quad,nosimd,16,8,5362.5,2.387e+07
quad,neon4,16,8,1687.4,7.586e+07
quad,neon1,16,8,2035.0,6.290e+07
nb,nosimd,16,32,1847.9,2.771e+08
nb,neon4,16,32,1259.0,4.067e+08
nb,neon1,16,32,1178.2,4.346e+08
epep,nosimd,16,32,9504.6,5.387e+07
epep,neon4,16,32,2778.7,1.843e+08
epep,neon1,16,32,2798.9,1.829e+08
mono,nosimd,16,32,7604.6,6.733e+07
mono,neon4,16,32,2746.8,1.864e+08
mono,neon1,16,32,2628.1,1.948e+08
quad,nosimd,16,32,21339.8,2.399e+07
quad,neon4,16,32,5175.2,9.893e+07
quad,neon1,16,32,5137.1,9.967e+07
nb,nosimd,16,128,7315.2,2.800e+08
nb,neon4,16,128,3648.5,5.613e+08
nb,neon1,16,128,2798.9,7.317e+08
epep,nosimd,16,128,37631.5,5.442e+07
epep,neon4,16,128,9492.9,2.157e+08
epep,neon1,16,128,8476.4,2.416e+08
mono,nosimd,16,128,30035.1,6.819e+07
mono,neon4,16,128,9259.1,2.212e+08
mono,neon1,16,128,8096.1,2.530e+08
quad,nosimd,16,128,85107.4,2.406e+07
quad,neon4,16,128,19112.3,1.072e+08
quad,neon1,16,128,17241.7,1.188e+08
nb,nosimd,16,512,29184.9,2.807e+08
nb,neon4,16,512,13499.4,6.068e+08
nb,neon1,16,512,10131.8,8.085e+08
epep,nosimd,16,512,150343.4,5.449e+07
epep,neon4,16,512,36545.1,2.242e+08
epep,neon1,16,512,32356.0,2.532e+08
mono,nosimd,16,512,119667.5,6.846e+07
mono,neon4,16,512,35412.9,2.313e+08
mono,neon1,16,512,30424.1,2.693e+08
quad,nosimd,16,512,340372.7,2.407e+07
quad,neon4,16,512,75918.9,1.079e+08
quad,neon1,16,512,67153.0,1.220e+08
nb,nosimd,16,2048,164898.1,1.987e+08
nb,neon4,16,2048,64683.7,5.066e+08
nb,neon1,16,2048,41313.1,7.932e+08
epep,nosimd,16,2048,606711.1,5.401e+07
epep,neon4,16,2048,147744.6,2.218e+08
epep,neon1,16,2048,127166.7,2.577e+08
mono,nosimd,16,2048,479058.1,6.840e+07
mono,neon4,16,2048,140257.7,2.336e+08
mono,neon1,16,2048,118443.1,2.767e+08
quad,nosimd,16,2048,1387913.3,2.361e+07
quad,neon4,16,2048,304214.1,1.077e+08
quad,neon1,16,2048,265645.0,1.234e+08
nb,nosimd,64,8,1882.6,2.720e+08
nb,neon4,64,8,1672.0,3.062e+08
nb,neon1,64,8,1628.7,3.144e+08
epep,nosimd,64,8,9962.1,5.139e+07
epep,neon4,64,8,3464.0,1.478e+08
epep,neon1,64,8,3968.7,1.290e+08
mono,nosimd,64,8,7958.9,6.433e+07
mono,neon4,64,8,3593.7,1.425e+08
mono,neon1,64,8,3750.0,1.365e+08
quad,nosimd,64,8,21431.6,2.389e+07
quad,neon4,64,8,5958.7,8.592e+07
quad,neon1,64,8,6090.1,8.407e+07
nb,nosimd,64,32,7361.6,2.782e+08
nb,neon4,64,32,4058.8,5.046e+08
nb,neon1,64,32,3167.8,6.465e+08
epep,nosimd,64,32,38118.2,5.373e+07
epep,neon4,64,32,10180.7,2.012e+08
epep,neon1,64,32,9609.1,2.131e+08
mono,nosimd,64,32,30411.8,6.734e+07
mono,neon4,64,32,10120.6,2.024e+08
mono,neon1,64,32,9110.4,2.248e+08
quad,nosimd,64,32,85269.9,2.402e+07
quad,neon4,64,32,20084.9,1.020e+08
quad,neon1,64,32,17664.6,1.159e+08
nb,nosimd,64,128,29254.8,2.800e+08
nb,neon4,64,128,13646.1,6.003e+08
nb,neon1,64,128,9533.2,8.593e+08
epep,nosimd,64,128,150685.6,5.436e+07
epep,neon4,64,128,37079.4,2.209e+08
epep,neon1,64,128,31836.0,2.573e+08
mono,nosimd,64,128,120108.3,6.821e+07
mono,neon4,64,128,36254.6,2.260e+08
mono,neon1,64,128,30370.3,2.697e+08
quad,nosimd,64,128,340305.7,2.407e+07
quad,neon4,64,128,76457.4,1.071e+08
quad,neon1,64,128,63966.1,1.281e+08
nb,nosimd,64,512,116134.3,2.822e+08
nb,neon4,64,512,52477.1,6.244e+08
nb,neon1,64,512,33672.6,9.731e+08
epep,nosimd,64,512,601129.0,5.451e+07
epep,neon4,64,512,144990.0,2.260e+08
epep,neon1,64,512,120612.4,2.717e+08
mono,nosimd,64,512,479326.7,6.836e+07
mono,neon4,64,512,140862.4,2.326e+08
mono,neon1,64,512,113656.8,2.883e+08
quad,nosimd,64,512,1361588.2,2.407e+07
quad,neon4,64,512,303100.6,1.081e+08
quad,neon1,64,512,248825.9,1.317e+08
nb,nosimd,64,2048,665424.3,1.970e+08
nb,neon4,64,2048,257373.1,5.093e+08
nb,neon1,64,2048,133022.1,9.853e+08
epep,nosimd,64,2048,2427935.4,5.398e+07
epep,neon4,64,2048,590037.6,2.221e+08
epep,neon1,64,2048,480163.3,2.730e+08
mono,nosimd,64,2048,1916981.5,6.837e+07
mono,neon4,64,2048,558773.5,2.346e+08
mono,neon1,64,2048,455377.8,2.878e+08
quad,nosimd,64,2048,5552184.5,2.361e+07
quad,neon4,64,2048,1215610.5,1.078e+08
quad,neon1,64,2048,1008976.8,1.299e+08
nb,nosimd,256,8,7561.3,2.709e+08
nb,neon4,256,8,5443.6,3.762e+08
nb,neon1,256,8,4922.5,4.161e+08
epep,nosimd,256,8,39664.5,5.163e+07
epep,neon4,256,8,12694.7,1.613e+08
epep,neon1,256,8,14129.0,1.450e+08
mono,nosimd,256,8,31837.8,6.433e+07
mono,neon4,256,8,13297.4,1.540e+08
mono,neon1,256,8,13266.5,1.544e+08
quad,nosimd,256,8,85690.4,2.390e+07
quad,neon4,256,8,22813.0,8.977e+07
quad,neon1,256,8,22301.9,9.183e+07
nb,nosimd,256,32,29593.8,2.768e+08
nb,neon4,256,32,15019.7,5.454e+08
nb,neon1,256,32,10956.2,7.477e+08
epep,nosimd,256,32,152621.0,5.368e+07
epep,neon4,256,32,39571.7,2.070e+08
epep,neon1,256,32,36218.9,2.262e+08
mono,nosimd,256,32,121694.4,6.732e+07
mono,neon4,256,32,39426.0,2.078e+08
mono,neon1,256,32,34433.9,2.379e+08
quad,nosimd,256,32,341322.5,2.400e+07
quad,neon4,256,32,79111.5,1.036e+08
quad,neon1,256,32,67784.4,1.209e+08
nb,nosimd,256,128,117328.9,2.793e+08
nb,neon4,256,128,53201.9,6.159e+08
nb,neon1,256,128,34027.3,9.630e+08
epep,nosimd,256,128,603230.2,5.432e+07
epep,neon4,256,128,147143.7,2.227e+08
epep,neon1,256,128,123723.1,2.648e+08
mono,nosimd,256,128,480606.0,6.818e+07
mono,neon4,256,128,143954.8,2.276e+08
mono,neon1,256,128,117929.1,2.779e+08
quad,nosimd,256,128,1360459.0,2.409e+07
quad,neon4,256,128,306190.9,1.070e+08
quad,neon1,256,128,250291.7,1.309e+08
nb,nosimd,256,512,467866.4,2.801e+08
nb,neon4,256,512,209005.9,6.271e+08
nb,neon1,256,512,127676.8,1.027e+09
epep,nosimd,256,512,2405576.6,5.449e+07
epep,neon4,256,512,578862.5,2.264e+08
epep,neon1,256,512,470316.2,2.787e+08
mono,nosimd,256,512,1918133.3,6.833e+07
mono,neon4,256,512,562564.2,2.330e+08
mono,neon1,256,512,448603.6,2.922e+08
quad,nosimd,256,512,5446295.6,2.407e+07
quad,neon4,256,512,1208780.5,1.084e+08
quad,neon1,256,512,980196.3,1.337e+08
nb,nosimd,256,2048,2637180.1,1.988e+08
nb,neon4,256,2048,1020244.8,5.139e+08
nb,neon1,256,2048,502594.8,1.043e+09
epep,nosimd,256,2048,9707427.3,5.401e+07
epep,neon4,256,2048,2359286.6,2.222e+08
epep,neon1,256,2048,1872232.5,2.800e+08
mono,nosimd,256,2048,7667368.9,6.838e+07
mono,neon4,256,2048,2236842.9,2.344e+08
mono,neon1,256,2048,1775727.2,2.953e+08
quad,nosimd,256,2048,22209459.7,2.361e+07
quad,neon4,256,2048,4861878.2,1.078e+08
quad,neon1,256,2048,4000481.1,1.311e+08
nb,nosimd,1024,8,30561.9,2.680e+08
nb,neon4,1024,8,20759.3,3.946e+08
nb,neon1,1024,8,18073.0,4.533e+08
epep,nosimd,1024,8,158531.1,5.167e+07
epep,neon4,1024,8,49743.7,1.647e+08
epep,neon1,1024,8,54991.2,1.490e+08
mono,nosimd,1024,8,128280.4,6.386e+07
mono,neon4,1024,8,52022.0,1.575e+08
mono,neon1,1024,8,51564.5,1.589e+08
quad,nosimd,1024,8,343963.0,2.382e+07
quad,neon4,1024,8,90954.0,9.007e+07
quad,neon1,1024,8,86324.3,9.490e+07
nb,nosimd,1024,32,119047.6,2.753e+08
nb,neon4,1024,32,59108.4,5.544e+08
nb,neon1,1024,32,42114.6,7.781e+08
epep,nosimd,1024,32,609456.4,5.377e+07
epep,neon4,1024,32,157443.6,2.081e+08
epep,neon1,1024,32,143196.5,2.288e+08
mono,nosimd,1024,32,487351.4,6.724e+07
mono,neon4,1024,32,156532.6,2.093e+08
mono,neon1,1024,32,136416.0,2.402e+08
quad,nosimd,1024,32,1366377.4,2.398e+07
quad,neon4,1024,32,317528.1,1.032e+08
quad,neon1,1024,32,268057.3,1.222e+08
nb,nosimd,1024,128,468942.3,2.795e+08
nb,neon4,1024,128,211763.5,6.190e+08
nb,neon1,1024,128,133947.0,9.785e+08
