# kernel,variant,ni,nj,time_ns_per_call,interactions_per_s
epep,nosimd,4,8,623.1,5.136e+07
epep,neon4,4,8,386.0,8.290e+07
epep,neon1,4,8,579.6,5.521e+07
epep,nosimd,4,32,2385.0,5.367e+07
epep,neon4,4,32,806.7,1.587e+08
epep,neon1,4,32,976.8,1.310e+08
epep,nosimd,4,128,9398.0,5.448e+07
epep,neon4,4,128,2490.5,2.056e+08
epep,neon1,4,128,2600.9,1.969e+08
epep,nosimd,4,512,37586.4,5.449e+07
epep,neon4,4,512,9275.0,2.208e+08
epep,neon1,4,512,9826.8,2.084e+08
epep,nosimd,4,2048,151869.8,5.394e+07
epep,neon4,4,2048,37092.5,2.209e+08
epep,neon1,4,2048,39272.1,2.086e+08
epep,nosimd,16,8,2493.6,5.133e+07
epep,neon4,16,8,1106.2,1.157e+08
epep,neon1,16,8,1361.5,9.401e+07
epep,nosimd,16,32,9537.5,5.368e+07
epep,neon4,16,32,2788.1,1.836e+08
epep,neon1,16,32,2779.4,1.842e+08
epep,nosimd,16,128,37604.1,5.446e+07
epep,neon4,16,128,9514.0,2.153e+08
epep,neon1,16,128,8502.0,2.409e+08
epep,nosimd,16,512,150308.4,5.450e+07
epep,neon4,16,512,36455.0,2.247e+08
epep,neon1,16,512,32344.5,2.533e+08
epep,nosimd,16,2048,606722.9,5.401e+07
epep,neon4,16,2048,147743.1,2.218e+08
epep,neon1,16,2048,126659.0,2.587e+08
epep,nosimd,64,8,9965.7,5.138e+07
epep,neon4,64,8,3447.0,1.485e+08
epep,neon1,64,8,3953.5,1.295e+08
epep,nosimd,64,32,38033.4,5.385e+07
epep,neon4,64,32,10177.2,2.012e+08
epep,neon1,64,32,9503.3,2.155e+08
epep,nosimd,64,128,150588.6,5.440e+07
epep,neon4,64,128,37045.0,2.211e+08
epep,neon1,64,128,31614.6,2.591e+08
epep,nosimd,64,512,601557.4,5.447e+07
epep,neon4,64,512,144981.5,2.260e+08
epep,neon1,64,512,120746.4,2.714e+08
epep,nosimd,64,2048,2427457.1,5.400e+07
epep,neon4,64,2048,590020.0,2.221e+08
epep,neon1,64,2048,480499.6,2.728e+08
epep,nosimd,256,8,39651.5,5.165e+07
epep,neon4,256,8,12745.8,1.607e+08
epep,neon1,256,8,14254.5,1.437e+08
epep,nosimd,256,32,151924.3,5.392e+07
epep,neon4,256,32,39626.5,2.067e+08
epep,neon1,256,32,36256.9,2.259e+08
epep,nosimd,256,128,601901.5,5.444e+07
epep,neon4,256,128,147117.5,2.227e+08
epep,neon1,256,128,124048.5,2.642e+08
epep,nosimd,256,512,2405755.7,5.448e+07
epep,neon4,256,512,578877.3,2.264e+08
epep,neon1,256,512,474202.8,2.764e+08
epep,nosimd,256,2048,9708904.5,5.400e+07
epep,neon4,256,2048,2359376.5,2.222e+08
epep,neon1,256,2048,1872087.2,2.801e+08
epep,nosimd,1024,8,158582.1,5.166e+07
epep,neon4,1024,8,49873.4,1.643e+08
epep,neon1,1024,8,55388.2,1.479e+08
epep,nosimd,1024,32,610398.7,5.368e+07
epep,neon4,1024,32,157429.2,2.081e+08
epep,neon1,1024,32,143161.7,2.289e+08
epep,nosimd,1024,128,2412270.0,5.434e+07
epep,neon4,1024,128,587542.7,2.231e+08
epep,neon1,1024,128,493375.1,2.657e+08
epep,nosimd,1024,512,9623188.3,5.448e+07
epep,neon4,1024,512,2311865.7,2.268e+08
epep,neon1,1024,512,1902715.4,2.755e+08
epep,nosimd,1024,2048,38898595.7,5.391e+07
epep,neon4,1024,2048,9465703.9,2.216e+08
epep,neon1,1024,2048,7472434.3,2.807e+08
# kernel,variant,ni,nj,time_ns_per_call,interactions_per_s
epep,nosimd,4,8,623.1,5.136e+07
epep,neon4,4,8,387.5,8.258e+07
epep,neon1,4,8,579.2,5.525e+07
epep,nosimd,4,32,2381.6,5.374e+07
epep,neon4,4,32,807.4,1.585e+08
epep,neon1,4,32,974.0,1.314e+08
epep,nosimd,4,128,9419.7,5.435e+07
epep,neon4,4,128,2487.6,2.058e+08
epep,neon1,4,128,2606.9,1.964e+08
epep,nosimd,4,512,37592.6,5.448e+07
epep,neon4,4,512,9277.4,2.208e+08
epep,neon1,4,512,9879.6,2.073e+08
epep,nosimd,4,2048,151836.2,5.395e+07
epep,neon4,4,2048,37237.6,2.200e+08
epep,neon1,4,2048,39542.8,2.072e+08
epep,nosimd,16,8,2492.8,5.135e+07
epep,neon4,16,8,1106.8,1.157e+08
epep,neon1,16,8,1354.5,9.450e+07
epep,nosimd,16,32,9534.5,5.370e+07
epep,neon4,16,32,2796.1,1.831e+08
epep,neon1,16,32,2773.7,1.846e+08
epep,nosimd,16,128,37623.1,5.443e+07
epep,neon4,16,128,9510.6,2.153e+08
epep,neon1,16,128,8521.5,2.403e+08
epep,nosimd,16,512,150277.8,5.451e+07
epep,neon4,16,512,36470.8,2.246e+08
epep,neon1,16,512,32383.1,2.530e+08
epep,nosimd,16,2048,606745.0,5.401e+07
epep,neon4,16,2048,147768.6,2.218e+08
epep,neon1,16,2048,126956.1,2.581e+08
epep,nosimd,64,8,9965.7,5.138e+07
epep,neon4,64,8,3455.5,1.482e+08
epep,neon1,64,8,3957.9,1.294e+08
epep,nosimd,64,32,38095.2,5.376e+07
epep,neon4,64,32,10181.8,2.011e+08
epep,neon1,64,32,9505.9,2.154e+08
epep,nosimd,64,128,150701.4,5.436e+07
epep,neon4,64,128,37042.0,2.212e+08
epep,neon1,64,128,31660.3,2.587e+08
epep,nosimd,64,512,601437.7,5.448e+07
epep,neon4,64,512,144982.3,2.260e+08
epep,neon1,64,512,120830.4,2.712e+08
epep,nosimd,64,2048,2430846.7,5.392e+07
epep,neon4,64,2048,591382.4,2.216e+08
epep,neon1,64,2048,480065.4,2.730e+08
epep,nosimd,256,8,39717.8,5.156e+07
epep,neon4,256,8,12741.5,1.607e+08
epep,neon1,256,8,14247.3,1.437e+08
epep,nosimd,256,32,152538.2,5.370e+07
epep,neon4,256,32,39619.7,2.068e+08
epep,neon1,256,32,36256.8,2.259e+08
epep,nosimd,256,128,602953.4,5.435e+07
epep,neon4,256,128,147171.2,2.227e+08
epep,neon1,256,128,123738.3,2.648e+08
epep,nosimd,256,512,2406156.4,5.447e+07
epep,neon4,256,512,578977.3,2.264e+08
epep,neon1,256,512,474118.2,2.765e+08
epep,nosimd,256,2048,9711013.7,5.399e+07
epep,neon4,256,2048,2369362.7,2.213e+08
epep,neon1,256,2048,1876030.4,2.795e+08
epep,nosimd,1024,8,158669.9,5.163e+07
epep,neon4,1024,8,49907.1,1.641e+08
epep,neon1,1024,8,55326.3,1.481e+08
epep,nosimd,1024,32,611543.4,5.358e+07
epep,neon4,1024,32,157392.1,2.082e+08
epep,neon1,1024,32,143280.8,2.287e+08
epep,nosimd,1024,128,2411348.6,5.436e+07
epep,neon4,1024,128,587406.1,2.231e+08
epep,neon1,1024,128,493521.0,2.656e+08
epep,nosimd,1024,512,9623285.7,5.448e+07
epep,neon4,1024,512,2312281.6,2.267e+08
epep,neon1,1024,512,1902558.7,2.756e+08
epep,nosimd,1024,2048,38937755.3,5.386e+07
epep,neon4,1024,2048,9483433.3,2.211e+08
epep,neon1,1024,2048,7456859.5,2.812e+08
# kernel,variant,ni,nj,time_ns_per_call,interactions_per_s
epep,nosimd,4,8,623.1,5.135e+07
epep,neon4,4,8,386.6,8.278e+07
epep,neon1,4,8,579.7,5.520e+07
epep,nosimd,4,32,2382.8,5.372e+07
epep,neon4,4,32,808.1,1.584e+08
epep,neon1,4,32,977.5,1.309e+08
epep,nosimd,4,128,9409.4,5.441e+07
epep,neon4,4,128,2487.4,2.058e+08
epep,neon1,4,128,2600.8,1.969e+08
epep,nosimd,4,512,37604.1,5.446e+07
epep,neon4,4,512,9277.7,2.207e+08
epep,neon1,4,512,9870.7,2.075e+08
epep,nosimd,4,2048,151908.2,5.393e+07
epep,neon4,4,2048,37215.0,2.201e+08
epep,neon1,4,2048,39459.0,2.076e+08
epep,nosimd,16,8,2492.9,5.135e+07
epep,neon4,16,8,1097.9,1.166e+08
epep,neon1,16,8,1354.9,9.447e+07
epep,nosimd,16,32,9519.6,5.378e+07
epep,neon4,16,32,2786.7,1.837e+08
epep,neon1,16,32,2779.3,1.842e+08
epep,nosimd,16,128,37642.6,5.441e+07
epep,neon4,16,128,9510.2,2.153e+08
epep,neon1,16,128,8517.8,2.404e+08
epep,nosimd,16,512,150303.7,5.450e+07
epep,neon4,16,512,36464.4,2.247e+08
epep,neon1,16,512,32378.8,2.530e+08
epep,nosimd,16,2048,606809.3,5.400e+07
epep,neon4,16,2048,147866.0,2.216e+08
epep,neon1,16,2048,127008.1,2.580e+08
epep,nosimd,64,8,9963.5,5.139e+07
epep,neon4,64,8,3443.1,1.487e+08
epep,neon1,64,8,3950.7,1.296e+08
epep,nosimd,64,32,38096.4,5.376e+07
epep,neon4,64,32,10175.5,2.013e+08
epep,neon1,64,32,9491.7,2.158e+08
epep,nosimd,64,128,150648.6,5.438e+07
epep,neon4,64,128,37042.5,2.212e+08
epep,neon1,64,128,31532.0,2.598e+08
epep,nosimd,64,512,601500.6,5.448e+07
epep,neon4,64,512,144993.2,2.260e+08
epep,neon1,64,512,120801.0,2.713e+08
epep,nosimd,64,2048,2427556.9,5.399e+07
epep,neon4,64,2048,590207.4,2.221e+08
epep,neon1,64,2048,480074.9,2.730e+08
epep,nosimd,256,8,39674.9,5.162e+07
epep,neon4,256,8,12744.0,1.607e+08
epep,neon1,256,8,14247.5,1.437e+08
epep,nosimd,256,32,152517.9,5.371e+07
epep,neon4,256,32,39604.1,2.068e+08
epep,neon1,256,32,36252.5,2.260e+08
epep,nosimd,256,128,602607.7,5.438e+07
epep,neon4,256,128,147150.0,2.227e+08
epep,neon1,256,128,124126.5,2.640e+08
epep,nosimd,256,512,2405338.6,5.449e+07
epep,neon4,256,512,578941.4,2.264e+08
epep,neon1,256,512,474153.6,2.764e+08
epep,nosimd,256,2048,9707085.9,5.401e+07
epep,neon4,256,2048,2359005.4,2.222e+08
epep,neon1,256,2048,1875936.7,2.795e+08
epep,nosimd,1024,8,158660.3,5.163e+07
epep,neon4,1024,8,49892.8,1.642e+08
epep,neon1,1024,8,55411.5,1.478e+08
epep,nosimd,1024,32,609536.1,5.376e+07
epep,neon4,1024,32,157402.1,2.082e+08
epep,neon1,1024,32,143121.0,2.290e+08
epep,nosimd,1024,128,2410331.5,5.438e+07
epep,neon4,1024,128,587398.6,2.231e+08
epep,neon1,1024,128,493567.7,2.656e+08
epep,nosimd,1024,512,9622928.2,5.448e+07
epep,neon4,1024,512,2311722.1,2.268e+08
epep,neon1,1024,512,1902506.4,2.756e+08
epep,nosimd,1024,2048,38829884.6,5.401e+07
epep,neon4,1024,2048,9445197.4,2.220e+08
epep,neon1,1024,2048,7456206.5,2.813e+08
