# kernel,variant,ni,nj,time_ns_per_call,interactions_per_s
epep,nosimd,4,8,623.1,5.135e+07
epep,neon4,4,8,386.8,8.274e+07
epep,neon1,4,8,578.8,5.529e+07
epep,nosimd,4,32,2384.9,5.367e+07
epep,neon4,4,32,805.9,1.588e+08
epep,neon1,4,32,973.4,1.315e+08
epep,nosimd,4,128,9417.0,5.437e+07
epep,neon4,4,128,2483.9,2.061e+08
epep,neon1,4,128,2598.8,1.970e+08
epep,nosimd,4,512,37588.6,5.448e+07
epep,neon4,4,512,9270.7,2.209e+08
epep,neon1,4,512,9830.1,2.083e+08
epep,nosimd,4,2048,151854.9,5.395e+07
epep,neon4,4,2048,37197.0,2.202e+08
epep,neon1,4,2048,39377.2,2.080e+08
epep,nosimd,16,8,2493.7,5.133e+07
epep,neon4,16,8,1106.8,1.156e+08
epep,neon1,16,8,1346.4,9.507e+07
epep,nosimd,16,32,9534.6,5.370e+07
epep,neon4,16,32,2796.9,1.831e+08
epep,neon1,16,32,2779.5,1.842e+08
epep,nosimd,16,128,37620.5,5.444e+07
epep,neon4,16,128,9512.9,2.153e+08
epep,neon1,16,128,8510.5,2.406e+08
epep,nosimd,16,512,150296.7,5.451e+07
epep,neon4,16,512,36445.2,2.248e+08
epep,neon1,16,512,32360.2,2.532e+08
epep,nosimd,16,2048,606751.6,5.401e+07
epep,neon4,16,2048,147820.6,2.217e+08
epep,neon1,16,2048,126713.9,2.586e+08
epep,nosimd,64,8,9958.1,5.142e+07
epep,neon4,64,8,3441.4,1.488e+08
epep,neon1,64,8,3942.8,1.299e+08
epep,nosimd,64,32,38037.2,5.384e+07
epep,neon4,64,32,10173.8,2.013e+08
epep,neon1,64,32,9481.9,2.160e+08
epep,nosimd,64,128,150568.0,5.441e+07
epep,neon4,64,128,36988.4,2.215e+08
epep,neon1,64,128,31559.4,2.596e+08
epep,nosimd,64,512,601442.3,5.448e+07
epep,neon4,64,512,144955.1,2.261e+08
epep,neon1,64,512,120696.9,2.715e+08
epep,nosimd,64,2048,2427135.7,5.400e+07
epep,neon4,64,2048,590108.9,2.221e+08
epep,neon1,64,2048,480607.3,2.727e+08
epep,nosimd,256,8,39637.3,5.167e+07
epep,neon4,256,8,12740.8,1.607e+08
epep,neon1,256,8,14241.1,1.438e+08
epep,nosimd,256,32,151899.8,5.393e+07
epep,neon4,256,32,39603.9,2.068e+08
epep,neon1,256,32,36245.3,2.260e+08
epep,nosimd,256,128,602853.0,5.435e+07
epep,neon4,256,128,147068.1,2.228e+08
epep,neon1,256,128,123894.9,2.645e+08
epep,nosimd,256,512,2405703.8,5.448e+07
epep,neon4,256,512,578719.1,2.265e+08
epep,neon1,256,512,474105.9,2.765e+08
epep,nosimd,256,2048,9705910.6,5.402e+07
epep,neon4,256,2048,2365435.9,2.216e+08
epep,neon1,256,2048,1871725.0,2.801e+08
epep,nosimd,1024,8,158617.4,5.165e+07
epep,neon4,1024,8,49915.8,1.641e+08
epep,neon1,1024,8,55416.6,1.478e+08
epep,nosimd,1024,32,610477.5,5.368e+07
epep,neon4,1024,32,157465.7,2.081e+08
epep,neon1,1024,32,143205.7,2.288e+08
epep,nosimd,1024,128,2408144.1,5.443e+07
