i,rel_acc,rel_pot
0,1.538967e-07,1.297560e-07
1,4.070140e-07,1.094151e-07
2,4.111250e-07,9.362429e-08
3,4.387058e-07,2.606080e-07
4,1.763861e-06,1.002112e-07
5,8.069903e-07,1.339770e-07
6,7.425069e-09,4.894269e-07
7,1.070781e-06,6.111286e-07
8,6.099929e-07,5.307082e-07
9,8.609915e-07,3.793739e-08
10,5.843592e-07,2.903195e-07
11,2.740731e-06,2.413535e-07
12,1.083225e-06,5.791340e-08
13,7.785515e-07,1.713594e-07
14,6.558226e-06,2.643854e-07
15,6.125660e-07,5.384566e-07
16,6.163170e-07,5.013966e-07
17,5.655483e-06,1.706659e-06
18,7.663315e-08,2.388718e-07
19,1.769124e-06,8.433005e-07
20,1.028468e-06,1.213440e-06
21,4.283812e-06,3.509451e-06
22,1.473172e-06,3.284968e-10
23,3.653997e-06,3.953286e-07
24,3.091468e-06,5.113230e-08
25,1.823493e-07,2.877254e-07
26,2.670504e-06,2.989517e-07
27,1.143230e-06,4.263775e-08
28,3.548887e-07,6.725946e-07
29,2.237438e-06,8.752650e-07
30,3.885496e-08,7.846849e-08
31,1.544677e-06,6.348869e-07
32,1.365599e-06,5.974902e-07
33,1.198979e-07,2.374747e-07
34,1.841933e-07,3.741284e-08
35,1.195936e-06,1.554225e-07
36,1.704584e-06,6.155823e-07
37,3.266413e-06,2.239872e-07
38,8.993094e-07,2.772720e-07
39,2.234905e-07,2.815012e-07
40,3.587842e-07,1.257883e-07
41,3.469073e-07,1.252666e-07
42,3.428297e-07,7.238951e-07
43,1.673399e-06,2.138391e-07
44,7.402921e-07,2.883018e-07
45,7.140250e-07,4.999700e-08
46,6.377811e-07,4.420848e-07
47,1.206290e-06,5.371044e-07
48,4.624496e-06,2.235284e-06
49,1.477234e-06,8.164362e-07
50,2.421705e-07,7.699149e-07
51,1.097352e-08,5.923973e-07
52,3.296329e-07,2.888890e-07
53,2.243368e-06,8.153023e-08
54,8.977688e-07,4.364720e-07
55,2.870304e-07,1.394143e-07
56,4.945733e-08,6.876163e-07
57,4.688424e-07,2.470552e-07
58,6.032846e-07,2.882545e-07
59,3.411396e-07,8.661726e-08
60,1.962113e-07,4.891747e-07
61,3.244045e-08,3.390625e-07
62,2.015159e-06,1.415980e-08
63,4.209950e-07,7.272634e-08
64,1.427731e-06,5.525070e-08
65,2.438810e-06,1.617062e-07
66,2.097292e-07,3.019553e-07
67,7.120849e-07,4.392533e-06
68,1.582900e-06,1.937204e-07
69,1.061340e-06,3.222666e-07
70,4.864954e-07,7.665871e-08
71,4.762179e-08,1.258293e-07
72,1.544664e-06,8.858358e-07
73,4.375704e-07,9.371615e-08
74,1.073532e-06,1.119658e-07
75,7.876397e-07,2.176917e-07
76,1.014427e-07,2.154043e-07
77,6.433851e-07,5.876945e-07
78,5.043827e-07,9.074982e-08
79,5.051066e-07,1.169500e-08
80,4.148908e-06,5.399636e-06
81,3.604530e-07,4.115999e-07
82,1.809203e-07,2.269686e-07
83,3.176024e-07,1.805476e-07
84,9.021218e-09,5.851381e-07
85,2.796496e-08,4.049058e-07
86,3.572132e-06,1.147777e-06
87,1.871189e-07,5.802974e-07
88,1.899050e-06,6.313773e-07
89,1.713028e-06,1.953175e-06
90,9.066762e-07,2.119359e-08
91,1.739053e-06,2.636630e-07
92,3.400035e-08,6.966119e-07
93,6.031110e-07,1.392204e-07
94,1.842959e-06,1.177222e-07
95,1.846690e-07,1.891920e-07
96,1.931168e-06,9.854349e-08
97,1.081103e-07,1.177862e-07
98,3.909050e-07,2.654751e-07
99,1.794261e-07,6.325322e-08
100,3.745904e-07,2.985014e-07
101,1.223044e-07,4.980435e-08
102,9.146477e-07,3.530248e-07
103,5.630896e-07,2.070462e-07
104,1.299132e-08,1.168131e-07
105,2.100476e-06,1.247306e-07
106,1.829060e-06,1.413643e-06
107,5.890894e-06,1.144660e-06
108,3.216771e-06,8.301586e-08
109,4.068600e-06,5.239874e-07
110,1.396408e-06,6.677868e-08
111,3.873904e-07,1.888253e-06
112,4.460030e-07,4.074153e-07
113,1.185278e-06,3.002645e-07
114,1.747810e-06,2.745020e-07
115,1.048267e-06,5.950660e-07
116,7.899471e-07,2.092940e-07
117,1.938403e-07,1.524585e-07
118,2.629021e-06,1.309852e-07
119,1.138162e-08,4.318165e-08
120,1.029631e-06,3.540559e-07
121,1.678595e-06,1.912551e-07
122,6.925841e-07,3.932794e-07
123,4.592412e-07,4.492068e-07
124,4.523216e-07,2.217842e-07
125,6.681486e-07,3.002140e-07
126,2.401064e-06,1.926181e-06
127,3.715873e-06,1.905723e-06
128,7.610462e-07,1.304083e-05
129,3.418227e-06,1.461090e-07
130,1.829702e-06,5.460169e-07
131,2.406714e-06,3.177551e-09
132,5.356772e-07,1.122994e-07
133,3.476448e-06,3.141565e-06
134,6.125555e-07,8.359277e-08
135,1.707076e-06,3.924277e-07
136,5.477311e-07,3.072867e-07
137,2.232740e-07,2.568112e-07
138,8.529558e-07,6.306350e-07
139,3.246023e-06,2.487097e-06
140,1.083370e-07,2.405381e-07
141,1.932541e-07,3.876354e-07
142,1.819086e-06,5.437690e-06
143,1.758978e-07,5.700743e-07
144,4.089981e-07,4.597184e-07
145,1.556213e-06,1.199778e-07
146,5.688833e-07,5.996830e-09
147,2.002373e-06,7.735200e-07
148,2.208754e-07,2.484387e-07
149,4.802556e-07,3.398717e-08
150,2.618087e-06,1.209460e-07
151,8.557936e-07,1.269698e-07
152,6.024507e-07,1.575483e-07
153,3.535787e-07,1.342676e-07
154,2.233836e-06,1.643458e-06
155,5.929923e-08,2.033120e-08
156,5.532550e-07,5.413245e-08
157,5.838996e-07,6.340885e-07
158,1.515787e-06,3.160507e-07
159,1.839386e-06,7.100590e-08
160,4.608900e-07,5.217550e-07
161,3.541789e-07,1.949477e-07
162,7.538303e-07,3.892134e-07
163,3.231095e-07,1.016623e-07
164,2.084253e-08,1.141758e-07
165,9.055453e-09,4.349944e-08
166,1.945690e-06,4.023585e-05
167,5.355677e-07,6.364986e-07
168,1.629945e-06,5.304185e-07
169,1.435768e-06,3.048563e-07
170,6.115463e-07,5.564922e-08
171,5.037325e-07,2.512798e-08
172,2.773226e-06,4.525818e-07
173,2.111750e-06,1.452387e-07
174,1.529856e-07,2.265653e-07
175,1.911284e-06,4.152033e-07
176,1.143174e-06,2.100827e-07
177,1.080741e-06,4.485981e-08
178,1.458217e-06,2.382891e-07
179,4.638888e-06,3.771420e-07
180,3.212173e-07,5.828512e-08
181,1.170355e-06,1.002534e-07
182,6.179551e-06,6.993170e-07
183,6.247773e-07,3.556413e-07
184,8.447891e-07,2.696476e-07
185,5.181603e-07,2.075131e-07
186,1.838179e-06,1.215043e-07
187,1.650201e-07,2.017608e-07
188,2.977794e-06,2.113715e-05
189,1.075394e-06,1.391642e-07
190,7.655907e-07,1.026018e-07
191,1.816355e-07,2.984141e-07
192,3.904597e-07,4.173774e-08
193,6.555641e-07,4.116115e-06
194,3.837403e-06,4.573733e-06
195,7.695296e-08,3.463333e-07
196,2.016088e-07,6.297608e-07
197,6.427737e-07,4.469425e-07
198,1.666765e-07,4.943719e-07
199,2.476955e-07,6.882198e-07
200,4.878147e-07,4.029398e-07
201,1.645560e-08,2.111505e-07
202,1.640147e-07,1.080264e-07
203,1.488294e-06,4.618744e-07
204,1.892832e-06,6.228149e-06
205,1.463467e-06,4.871885e-07
206,8.437347e-07,3.252620e-07
207,1.311131e-07,3.520269e-07
208,5.354969e-06,5.801299e-05
209,1.829166e-06,1.233990e-07
210,2.803410e-07,7.622222e-08
211,6.657359e-07,1.444117e-07
212,4.301141e-07,1.964331e-07
213,5.795355e-07,4.517589e-08
214,7.265047e-07,8.140543e-07
215,5.009041e-07,5.863059e-07
216,1.485051e-06,2.583034e-07
217,8.884487e-07,1.324956e-07
218,9.840364e-07,2.847030e-07
219,3.677130e-07,5.396422e-08
220,1.564763e-06,1.174943e-08
221,8.207077e-07,3.070810e-07
222,7.286903e-07,1.930470e-07
223,8.244921e-07,6.401468e-07
224,8.669496e-07,4.984640e-08
225,5.216867e-08,2.793096e-07
226,2.798808e-06,4.350059e-07
227,4.955852e-07,4.676453e-07
228,1.523986e-06,7.946705e-05
229,1.850591e-06,1.346183e-07
230,2.063904e-07,2.324879e-08
231,6.955335e-07,1.747937e-07
232,2.173945e-06,1.278815e-06
233,5.140951e-07,3.428652e-07
234,1.140279e-06,3.373213e-07
235,1.315901e-06,1.011197e-07
236,1.663564e-06,1.723784e-06
237,3.339900e-07,1.152636e-07
238,6.210189e-06,5.603243e-07
239,1.601532e-06,1.199174e-06
240,8.525134e-07,6.100567e-07
241,9.650755e-06,1.278045e-06
242,8.129431e-07,3.059038e-07
243,5.141618e-07,4.875830e-07
244,4.643958e-07,8.240937e-08
245,2.392322e-06,8.477072e-06
246,9.204721e-07,8.437426e-09
247,2.082771e-06,3.197728e-06
248,6.809529e-07,2.722587e-07
249,1.511835e-06,3.724268e-07
250,8.842377e-07,7.108862e-09
251,2.638703e-07,1.027443e-07
252,4.169944e-07,1.354733e-07
253,1.176729e-06,5.396111e-07
254,1.909353e-06,3.339027e-07
255,2.692589e-06,3.069426e-07
256,4.600434e-06,1.237808e-07
257,1.280162e-06,4.183990e-08
258,1.010686e-06,1.126594e-06
259,2.848750e-07,2.826767e-07
260,5.726847e-08,2.366869e-07
261,2.630189e-06,6.381660e-06
262,1.694587e-06,2.665390e-07
