i,rel_acc,rel_pot
0,1.519886e-07,5.607650e-08
1,5.637087e-07,1.720794e-07
2,3.896076e-07,9.362429e-08
3,5.042421e-07,3.211577e-07
4,1.724233e-06,2.034867e-07
5,9.824168e-07,1.339770e-07
6,1.978328e-08,4.894269e-07
7,1.515860e-06,6.111286e-07
8,6.106769e-07,6.271400e-07
9,8.980426e-07,1.088648e-07
10,3.586886e-07,2.903195e-07
11,2.740731e-06,1.783413e-07
12,8.828453e-07,1.733045e-07
13,7.318305e-07,1.015013e-07
14,6.665020e-06,2.643854e-07
15,1.208839e-07,6.167893e-07
16,6.159585e-07,6.128981e-07
17,6.227170e-06,2.037248e-06
18,9.060466e-09,2.388718e-07
19,1.769124e-06,8.433005e-07
20,1.133057e-06,1.377452e-06
21,2.471221e-06,2.645982e-06
22,1.441281e-06,6.989005e-08
23,3.643715e-06,3.042738e-07
24,3.047234e-06,5.113230e-08
25,1.610964e-07,2.877254e-07
26,2.670504e-06,3.752047e-07
27,1.129790e-06,4.263775e-08
28,3.548887e-07,6.725946e-07
29,2.079454e-06,8.099830e-07
30,2.622474e-07,7.846849e-08
31,1.480715e-06,6.348869e-07
32,1.309386e-06,5.131491e-07
33,1.382351e-07,2.974465e-07
34,9.988099e-07,3.741284e-08
35,1.274089e-06,1.554225e-07
36,1.704584e-06,5.146274e-07
37,3.174081e-06,2.239872e-07
38,8.993094e-07,3.375489e-07
39,1.924159e-07,2.815012e-07
40,5.060896e-07,1.257883e-07
41,5.373352e-07,1.867694e-07
42,3.074138e-07,8.188747e-07
43,1.569015e-06,2.735125e-07
44,5.498188e-07,2.162865e-07
45,7.370485e-07,4.999700e-08
46,1.682019e-08,4.420848e-07
47,8.190894e-07,4.673057e-07
48,4.019056e-06,2.235284e-06
49,1.476746e-06,8.164362e-07
50,2.421705e-07,7.699149e-07
51,6.799778e-08,5.923973e-07
52,1.737506e-07,1.699873e-07
53,2.095480e-06,8.153023e-08
54,2.947244e-07,4.364720e-07
55,7.287131e-07,6.165845e-08
56,1.388115e-07,6.876163e-07
57,1.047820e-06,3.249127e-07
58,5.647169e-07,2.882545e-07
59,3.953899e-07,1.935481e-08
60,1.764845e-07,4.106373e-07
61,1.047439e-07,3.390625e-07
62,1.898833e-06,1.156727e-07
63,4.207556e-07,7.272634e-08
64,1.015843e-06,1.294856e-08
65,2.514498e-06,1.617062e-07
66,5.733069e-07,3.019553e-07
67,7.075699e-07,4.270574e-06
68,1.699787e-06,1.224223e-07
69,1.063119e-06,3.996948e-07
70,3.810291e-07,7.665871e-08
71,2.430697e-07,1.258293e-07
72,1.544666e-06,8.858358e-07
73,5.843278e-07,9.371615e-08
74,1.844737e-06,3.551115e-07
75,9.240593e-07,2.176917e-07
76,3.832609e-08,2.154043e-07
77,6.433851e-07,7.054478e-07
78,5.117135e-07,9.074982e-08
79,4.808960e-07,1.169500e-08
80,4.189636e-06,5.399636e-06
81,3.927901e-08,2.553151e-07
82,1.896186e-07,2.269686e-07
83,5.228211e-07,1.805476e-07
84,5.717159e-07,5.851381e-07
85,2.172432e-07,3.375523e-07
86,3.572209e-06,1.037013e-06
87,5.157649e-07,6.624524e-07
88,1.899050e-06,6.313773e-07
89,1.713028e-06,1.842424e-06
90,5.085916e-07,1.354989e-07
91,1.312492e-06,2.636630e-07
92,7.338199e-07,3.785693e-07
93,4.686800e-07,1.392204e-07
94,9.591191e-07,1.177222e-07
95,1.846690e-07,1.891920e-07
96,1.460709e-06,9.854349e-08
97,1.725446e-07,1.177862e-07
98,1.269491e-07,2.654751e-07
99,2.188932e-07,7.167998e-08
100,4.057272e-07,2.985014e-07
101,1.101683e-07,1.143306e-07
102,8.003026e-08,2.397863e-07
103,4.268438e-07,2.070462e-07
104,1.433369e-07,5.034118e-08
105,2.089165e-06,6.421548e-08
106,1.855888e-06,1.500065e-06
107,5.898624e-06,1.077063e-06
108,3.249835e-06,8.301586e-08
